timestamp,pg_major,N,scalar_ms,bulk_ms,advisory_ms,scalar_pass,bulk_pass,stats
2026-05-25T16:18:29Z,18,750000,389,300,n/a,1,1,"0|0|0"
2026-05-25T16:18:31Z,18,750000,382,290,n/a,1,1,"0|0|0"
2026-05-25T16:18:33Z,18,750000,369,294,n/a,1,1,"0|0|0"
