timestamp,pg_major,N,scalar_ms,bulk_ms,advisory_ms,scalar_pass,bulk_pass,stats
2026-05-25T16:18:23Z,17,750000,371,288,n/a,1,1,"0|0|0"
2026-05-25T16:18:25Z,17,750000,378,302,n/a,1,1,"0|0|0"
2026-05-25T16:18:27Z,17,750000,381,287,n/a,1,1,"0|0|0"
