timestamp,pg_major,N,scalar_ms,bulk_ms,advisory_ms,scalar_pass,bulk_pass,stats
2026-05-25T16:18:17Z,16,750000,381,289,n/a,1,1,"0|0|0"
2026-05-25T16:18:19Z,16,750000,377,278,n/a,1,1,"0|0|0"
2026-05-25T16:18:21Z,16,750000,367,289,n/a,1,1,"0|0|0"
